Employee_ID,FeedbackText
101,"I feel underpaid and I do not see promotion opportunities."
102,"My team is supportive and I like my work."
103,"The workload is too high and work-life balance is difficult."
104,"I want an internal transfer because this role no longer fits my goals."
105,"Management communication is poor and I feel stressed."
106,"I am happy with my career growth here."
107,"I'm considering leaving due to stress and salary issues."
108,"The company culture is amazing."
109,"Micromanagement is becoming a real problem."
110,"I enjoy the flexibility and projects I'm working on."
